keyword,main_role
data scientist,Data Scientist
data science,Data Scientist
analytics engineer,Data Engineer
data engineer,Data Engineer
data modeler,Data Analyst
data specialist,Data Analyst
business intelligence,BI Analyst
analytics manager,Analytics Management
director of analytics,Analytics Management
financial analyst,Financial Analyst
marketing analyst,Marketing Analyst
healthcare analyst,Healthcare Analyst
business analyst,Business Analyst
data analytics,Data Analyst
data analyst,Data Analyst
data entry,Data Entry
analyst,Other Analyst
